"ISO","year","armed_conflict"
"COG",2003,1
"COG",2004,1
"COG",2005,NA
"COG",2006,0
"COG",2007,NA
"COG",2008,0
"COG",2009,0
"COG",2010,NA
"COG",2011,NA
"COG",2012,0
"COG",2013,0
"COG",2014,NA
"COG",2015,NA
"COG",2016,0
"COG",2017,1
"COG",2018,0
"COG",2019,NA
"COL",2000,1
"COL",2001,1
"COL",2002,1
"COL",2003,1
"COL",2004,1
"COL",2005,1
"COL",2006,1
"COL",2007,1
"COL",2008,1
"COL",2009,1
"COL",2010,1
"COL",2011,1
"COL",2012,1
"COL",2013,1
"COL",2014,1
"COL",2015,1
"COL",2016,1
"COL",2017,1
"COL",2018,1
"COL",2019,1
"COM",2000,NA
"COM",2001,NA
"COM",2002,NA
"COM",2003,NA
"COM",2004,NA
"COM",2005,NA
"COM",2006,NA
"COM",2007,NA
"COM",2008,NA
"COM",2009,NA
"COM",2010,NA
"COM",2011,NA
"COM",2012,NA
"COM",2013,NA
"COM",2014,NA
"COM",2015,NA
"COM",2016,NA
"COM",2017,NA
"COM",2018,NA
"COM",2019,NA
"CPV",2000,NA
"CPV",2001,NA
"CPV",2002,NA
"CPV",2003,NA
"CPV",2004,NA
"CPV",2005,NA
"CPV",2006,NA
"CPV",2007,NA
"CPV",2008,NA
"CPV",2009,NA
"CPV",2010,NA
"CPV",2011,NA
"CPV",2012,NA
"CPV",2013,NA
"CPV",2014,NA
"CPV",2015,NA
"CPV",2016,NA
"CPV",2017,NA
"CPV",2018,NA
"CPV",2019,NA
"CRI",2000,NA
"CRI",2001,NA
"CRI",2002,NA
"CRI",2003,NA
"CRI",2004,NA
"CRI",2005,NA
"CRI",2006,NA
"CRI",2007,NA
"CRI",2008,NA
"CRI",2009,NA
"CRI",2010,NA
"CRI",2011,NA
"CRI",2012,NA
"CRI",2013,NA
"CRI",2014,NA
"CRI",2015,NA
"CRI",2016,NA
"CRI",2017,NA
"CRI",2018,NA
"CRI",2019,NA
"CUB",2000,NA
"CUB",2001,NA
"CUB",2002,NA
"CUB",2003,NA
"CUB",2004,NA
"CUB",2005,NA
"CUB",2006,NA
"CUB",2007,NA
"CUB",2008,NA
"CUB",2009,NA
"CUB",2010,NA
